"plantNum","surv","date.in","date.out","daysout","c8.4","c10.2","c10.7","c18.1","tough","trich","lat","c.pca"
26,1,2016-09-03,2016-08-26,8,0.0401350647696979,0.0241252123575316,0.0502827294484766,0.0261104434772313,107.5,81,NA,3.06100294900812
26,0,2016-09-03,2016-08-26,8,0.0401350647696979,0.0241252123575316,0.0502827294484766,0.0261104434772313,107.5,81,NA,3.06100294900812
26,0,2016-09-03,2016-08-26,8,0.0401350647696979,0.0241252123575316,0.0502827294484766,0.0261104434772313,107.5,81,NA,3.06100294900812
27,0,2016-09-05,2016-08-29,7,0.384303602583683,0.0176349298228405,0.0352703478564408,0.0296300602496017,52.5,33,0.000785000000000036,2.45929108688809
27,0,2016-09-05,2016-08-29,7,0.384303602583683,0.0176349298228405,0.0352703478564408,0.0296300602496017,52.5,33,0.000785000000000036,2.45929108688809
27,0,2016-09-05,2016-08-29,7,0.384303602583683,0.0176349298228405,0.0352703478564408,0.0296300602496017,52.5,33,0.000785000000000036,2.45929108688809
27,0,2016-09-05,2016-08-29,7,0.384303602583683,0.0176349298228405,0.0352703478564408,0.0296300602496017,52.5,33,0.000785000000000036,2.45929108688809
27,0,2016-09-05,2016-08-29,7,0.384303602583683,0.0176349298228405,0.0352703478564408,0.0296300602496017,52.5,33,0.000785000000000036,2.45929108688809
28,0,2016-09-05,2016-08-29,7,0.19398876117182,0.0332452344848566,0.0515449609357727,0.0400640228623773,112.5,59,NA,3.5047317938368
28,0,2016-09-05,2016-08-29,7,0.19398876117182,0.0332452344848566,0.0515449609357727,0.0400640228623773,112.5,59,NA,3.5047317938368
28,0,2016-09-05,2016-08-29,7,0.19398876117182,0.0332452344848566,0.0515449609357727,0.0400640228623773,112.5,59,NA,3.5047317938368
28,0,2016-09-05,2016-08-29,7,0.19398876117182,0.0332452344848566,0.0515449609357727,0.0400640228623773,112.5,59,NA,3.5047317938368
28,0,2016-09-05,2016-08-29,7,0.19398876117182,0.0332452344848566,0.0515449609357727,0.0400640228623773,112.5,59,NA,3.5047317938368
29,1,2016-09-05,2016-08-29,7,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,100,77.5,NA,3.60671734170449
