"plantNum","weight","lgw","trich","tough","lat","c8.4","c10.2","c10.7","c18.1","c.pca","date.in","date.out","daysout"
9,0.00241,-6.02812853147957,84,115,0.00424500000000005,0.0526964441990624,0.0163672323077314,0.0309225777250335,0.0143258731099984,2.05244585725449,2016-09-02,2016-08-26,7
9,0.00126,-6.67664355801875,84,115,0.00424500000000005,0.0526964441990624,0.0163672323077314,0.0309225777250335,0.0143258731099984,2.05244585725449,2016-09-02,2016-08-26,7
9,0.00205,-6.18991548583182,84,115,0.00424500000000005,0.0526964441990624,0.0163672323077314,0.0309225777250335,0.0143258731099984,2.05244585725449,2016-09-02,2016-08-26,7
9,0.00393,-5.53911585310097,84,115,0.00424500000000005,0.0526964441990624,0.0163672323077314,0.0309225777250335,0.0143258731099984,2.05244585725449,2016-09-02,2016-08-26,7
11,0.00236,-6.04909365994462,80.5,130,0.0031690000000002,0.119500340146168,0.026689557818267,0.0356125829852287,0.0237475332406302,2.58579585712347,2016-09-02,2016-08-26,7
11,0.00314,-5.76353247906197,80.5,130,0.0031690000000002,0.119500340146168,0.026689557818267,0.0356125829852287,0.0237475332406302,2.58579585712347,2016-09-02,2016-08-26,7
11,0.0022,-6.11929791861787,80.5,130,0.0031690000000002,0.119500340146168,0.026689557818267,0.0356125829852287,0.0237475332406302,2.58579585712347,2016-09-02,2016-08-26,7
11,0.00292,-5.83617166270195,80.5,130,0.0031690000000002,0.119500340146168,0.026689557818267,0.0356125829852287,0.0237475332406302,2.58579585712347,2016-09-02,2016-08-26,7
14,0.00264,-5.93697636182391,84.5,145,NA,0.189943986097953,0.0317046824931843,0.0423012336035429,0.0265432962570481,3.02046540488518,2016-09-03,2016-08-26,8
14,0.00361,-5.62404750663735,84.5,145,NA,0.189943986097953,0.0317046824931843,0.0423012336035429,0.0265432962570481,3.02046540488518,2016-09-03,2016-08-26,8
14,0.00381,-5.57012608984353,84.5,145,NA,0.189943986097953,0.0317046824931843,0.0423012336035429,0.0265432962570481,3.02046540488518,2016-09-03,2016-08-26,8
14,0.00295,-5.82595010863041,84.5,145,NA,0.189943986097953,0.0317046824931843,0.0423012336035429,0.0265432962570481,3.02046540488518,2016-09-03,2016-08-26,8
18,0.00104,-6.86853456582886,NA,110,NA,0.0639175973871906,0.0317697583352147,0.0302793864405345,0.0146509649535469,2.02884161611381,2016-09-03,2016-08-26,8
18,NA,NA,NA,110,NA,0.0639175973871906,0.0317697583352147,0.0302793864405345,0.0146509649535469,2.02884161611381,2016-09-03,2016-08-26,8
18,0.00082,-7.10620621770598,NA,110,NA,0.0639175973871906,0.0317697583352147,0.0302793864405345,0.0146509649535469,2.02884161611381,2016-09-03,2016-08-26,8
21,0.00092,-6.99113688792119,75,85,0.00267400000000007,0.00866058401560031,0.019959590063685,0.0264193611238055,0.0133805617408836,1.7885017636631,2016-09-03,2016-08-26,8
24,0.00122,-6.70890442023697,71,65,NA,0.106007954138884,0.0283395311002778,0.0302160648394842,0.0233881935650182,2.29318793659126,2016-09-03,2016-08-26,8
24,0.00317,-5.75402369109295,71,65,NA,0.106007954138884,0.0283395311002778,0.0302160648394842,0.0233881935650182,2.29318793659126,2016-09-03,2016-08-26,8
24,0.0025,-5.99146454710798,71,65,NA,0.106007954138884,0.0283395311002778,0.0302160648394842,0.0233881935650182,2.29318793659126,2016-09-03,2016-08-26,8
26,0.00229,-6.07920346141599,81,107.5,NA,0.0401350647696979,0.0241252123575316,0.0502827294484766,0.0261104434772313,3.42369466234574,2016-09-03,2016-08-26,8
26,0.00288,-5.84996498483428,81,107.5,NA,0.0401350647696979,0.0241252123575316,0.0502827294484766,0.0261104434772313,3.42369466234574,2016-09-03,2016-08-26,8
26,0.00206,-6.18504929618065,81,107.5,NA,0.0401350647696979,0.0241252123575316,0.0502827294484766,0.0261104434772313,3.42369466234574,2016-09-03,2016-08-26,8
29,0.00073,-7.22246602382184,77.5,100,NA,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,4.03164793889109,2016-09-05,2016-08-29,7
29,0.00074,-7.20886037176606,77.5,100,NA,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,4.03164793889109,2016-09-05,2016-08-29,7
34,0.00153,-6.48248754357779,95.5,127.5,0.00989399999999985,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,1.91169890677263,2016-09-05,2016-08-29,7
34,0.0013,-6.64539101451465,95.5,127.5,0.00989399999999985,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,1.91169890677263,2016-09-05,2016-08-29,7
34,0.00099,-6.91780561483564,95.5,127.5,0.00989399999999985,0.0443722204978035,0.0308835817476055,0.0300220337653047,0.0112653219247306,1.91169890677263,2016-09-05,2016-08-29,7
35,0.0012,-6.72543372218818,68.5,75,0.000831999999999944,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,2.90529289071619,2016-09-05,2016-08-29,7
35,0.00119,-6.7338019718587,68.5,75,0.000831999999999944,0.00331517363494742,0.0315516653018177,0.0428660861700622,0.0218213979585091,2.90529289071619,2016-09-05,2016-08-29,7
36,0.0039,-5.54677872584654,62.5,75,0.00134600000000007,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,4.23773713918088,2016-09-05,2016-08-29,7
36,0.00243,-6.01986402162968,62.5,75,0.00134600000000007,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,4.23773713918088,2016-09-05,2016-08-29,7
36,0.00182,-6.30891877789343,62.5,75,0.00134600000000007,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,4.23773713918088,2016-09-05,2016-08-29,7
36,0.00262,-5.94458096120913,62.5,75,0.00134600000000007,0.203335839576694,0.0463258272258955,0.0562276039599709,0.0425574904701638,4.23773713918088,2016-09-05,2016-08-29,7
39,0.00192,-6.25543009294245,72,127.5,0.00739099999999993,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,1.94393219327415,2016-09-05,2016-08-29,7
39,0.00151,-6.4956456281553,72,127.5,0.00739099999999993,0.0177628506676963,0.0457019299856573,0.0282326450019936,0.0153656525228135,1.94393219327415,2016-09-05,2016-08-29,7
40,0.00328,-5.71991185658608,100,142.5,0.00233100000000008,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,1.68800535617924,2016-09-05,2016-08-29,7
40,0.0031,-5.77635316749104,100,142.5,0.00233100000000008,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,1.68800535617924,2016-09-05,2016-08-29,7
40,0.0023,-6.07484615604703,100,142.5,0.00233100000000008,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,1.68800535617924,2016-09-05,2016-08-29,7
40,0.0039,-5.54677872584654,100,142.5,0.00233100000000008,0.0273255467533923,0.0244051305361089,0.0263312267433762,0.0102500714731956,1.68800535617924,2016-09-05,2016-08-29,7
41,0.00142,-6.55709840736897,41,60,0.000899999999999901,0.00950088389435842,0.00530919654776441,0,0.0433816370853256,1.32892474748021,2016-09-05,2016-08-29,7
41,0.00117,-6.75075153017247,41,60,0.000899999999999901,0.00950088389435842,0.00530919654776441,0,0.0433816370853256,1.32892474748021,2016-09-05,2016-08-29,7
43,0.00195,-6.23992590640648,98,150,0.00128000000000017,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,2.71779168992086,2016-09-05,2016-08-29,7
43,0.00164,-6.41305903714603,98,150,0.00128000000000017,0.189182040054885,0.0287086562628799,0.0366489254606479,0.0262910879824365,2.71779168992086,2016-09-05,2016-08-29,7
45,0.00076,-7.1821921246839,49.5,35,0.000623999999999958,0.0792766845964944,0.0754083022320643,0.068973267179681,0.0401367504746001,4.82867368634637,2016-09-05,2016-08-29,7
48,0.00535,-5.23065871807422,64.5,137.5,0.00437599999999994,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,1.72259393412668,2016-09-05,2016-08-29,7
48,0.00417,-5.47983924317143,64.5,137.5,0.00437599999999994,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,1.72259393412668,2016-09-05,2016-08-29,7
48,0.00509,-5.28047744841971,64.5,137.5,0.00437599999999994,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,1.72259393412668,2016-09-05,2016-08-29,7
48,0.00554,-5.19576077822294,64.5,137.5,0.00437599999999994,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,1.72259393412668,2016-09-05,2016-08-29,7
48,0.00253,-5.97953597624271,64.5,137.5,0.00437599999999994,0.00442621606005812,0.0233974575323942,0.0257708979244107,0.0123336686651319,1.72259393412668,2016-09-05,2016-08-29,7
49,0.00203,-6.19971948592844,100,107.5,0.00357199999999991,0.0609253444294478,0.0321534083264277,0.0443311271382586,0.0258591532369557,3.10543135520191,2016-09-05,2016-08-29,7
50,0.00087,-7.04701734631564,54.5,75,0.00437899999999991,0.160943632926924,0.048061396507206,0.059971836865998,0.0441347728496966,4.48143546883423,2016-09-05,2016-08-29,7
51,0.00178,-6.33114191467814,71.5,87.5,0.00330699999999995,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,2.07608058474954,2016-09-05,2016-08-29,7
51,0.00174,-6.3538701657557,71.5,87.5,0.00330699999999995,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,2.07608058474954,2016-09-05,2016-08-29,7
51,0.00216,-6.13764705728606,71.5,87.5,0.00330699999999995,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,2.07608058474954,2016-09-05,2016-08-29,7
