"lgw","plantNum","lat1","lat2","date.out","weight","date.in","tough","init.weight","daysout","c.10.5","c.17.4","c.17.7","c.18.4","c.18.6","card.tot","c.10.5.fin","c.17.4.fin","c.17.7.fin","c.18.4.fin","c.18.6.fin","card.tot.fin","leaf.sample.weight","N2.Amp","perc.N","CO2.Amp","perc.C","trich","c2n","sla","c.pca"
-6.35732440062379,1,0.00218099999999999,0.00269199999999992,"2015/09/19",0.001734,"2015/09/25",62.5,0.0013561,6,0.282336660794846,0.0234998102846714,0.00786483879138676,0.0332259073001386,0.0389722023650274,0.38589941953607,0.290330629213771,0.022102795172401,0.0256151766425356,0.0408053865856143,0.0196788954370186,0.39853288305134,3.051,3035,2.22,11849,43.19,37,19.454954954955,26.4799331103679,1.35234941113771
-5.62765511426865,1,0.00218099999999999,0.00269199999999992,"2015/09/19",0.003597,"2015/09/25",62.5,0.0013561,6,0.282336660794846,0.0234998102846714,0.00786483879138676,0.0332259073001386,0.0389722023650274,0.38589941953607,0.290330629213771,0.022102795172401,0.0256151766425356,0.0408053865856143,0.0196788954370186,0.39853288305134,3.051,3035,2.22,11849,43.19,37,19.454954954955,26.4799331103679,1.35234941113771
-6.1987347492659,2,0.00153800000000004,0.00165000000000015,"2015/09/19",0.002032,"2015/09/25",90,0.0013561,6,0.3413735944497,0.00174552471774986,0,0.00680996100504413,0.0541249521938901,0.404054032366384,0.4011090506842,0.00200344446019834,0,0.00849363333319553,0.0574510534926022,0.469057181970196,3.032,3875,2.85,12071,44.45,40,15.5964912280702,30.2772466539197,0.192393680234816
-5.94039127692398,2,0.00153800000000004,0.00165000000000015,"2015/09/19",0.002631,"2015/09/25",90,0.0013561,6,0.3413735944497,0.00174552471774986,0,0.00680996100504413,0.0541249521938901,0.404054032366384,0.4011090506842,0.00200344446019834,0,0.00849363333319553,0.0574510534926022,0.469057181970196,3.032,3875,2.85,12071,44.45,40,15.5964912280702,30.2772466539197,0.192393680234816
-5.93697636182391,3,0.00177300000000002,0.00101400000000007,"2015/09/19",0.00264,"2015/09/25",45,0.0013561,6,0.543450933194028,0.00315421916208035,0.00115964569841967,0.00902839587861462,0.044454246655966,0.601247440589109,0.275078175990312,0.00392592924324822,0.00280614226072203,0.00984946670519564,0.0301081192446124,0.321767833444091,2.947,2772,2.15,11068,41.19,38,19.1581395348837,29.8491988689915,0.28518482882379
-6.00596923331086,3,0.00177300000000002,0.00101400000000007,"2015/09/19",0.002464,"2015/09/25",45,0.0013561,6,0.543450933194028,0.00315421916208035,0.00115964569841967,0.00902839587861462,0.044454246655966,0.601247440589109,0.275078175990312,0.00392592924324822,0.00280614226072203,0.00984946670519564,0.0301081192446124,0.321767833444091,2.947,2772,2.15,11068,41.19,38,19.1581395348837,29.8491988689915,0.28518482882379
-5.93470621328937,4,0.00205499999999992,0.00217699999999987,"2015/09/19",0.002646,"2015/09/25",72.5,0.0013561,6,0.440149343910926,0.00645345855183568,0.00405136051366155,0.0188345090608338,0.0595667082919734,0.529055380329231,0.466579903970172,0.00233833394466953,0.00190938366810928,0.00546718912163525,0.0484298454463002,0.524724656150886,3.112,3375,2.44,11705,41.54,34,17.0245901639344,26.4799331103679,0.60780355991015
-5.88350740560289,4,0.00205499999999992,0.00217699999999987,"2015/09/19",0.002785,"2015/09/25",72.5,0.0013561,6,0.440149343910926,0.00645345855183568,0.00405136051366155,0.0188345090608338,0.0595667082919734,0.529055380329231,0.466579903970172,0.00233833394466953,0.00190938366810928,0.00546718912163525,0.0484298454463002,0.524724656150886,3.112,3375,2.44,11705,41.54,34,17.0245901639344,26.4799331103679,0.60780355991015
-6.22112931541246,5,0.00306400000000018,0.00342399999999987,"2015/09/19",0.001987,"2015/09/25",60,0.0013561,6,0.239608883889421,0.0276054167315717,0.00899735887787776,0.0296666552066905,0.0337359869197892,0.33961430162535,0.269093152876196,0.0169135178290748,0.0135512977828381,0.0179431507641174,0.0238642596365407,0.341365378888767,3.006,2305,1.72,11636,42.57,55,24.75,21.2123241795044,1.37586277736312
-5.84304454198971,5,0.00306400000000018,0.00342399999999987,"2015/09/19",0.0029,"2015/09/25",60,0.0013561,6,0.239608883889421,0.0276054167315717,0.00899735887787776,0.0296666552066905,0.0337359869197892,0.33961430162535,0.269093152876196,0.0169135178290748,0.0135512977828381,0.0179431507641174,0.0238642596365407,0.341365378888767,3.006,2305,1.72,11636,42.57,55,24.75,21.2123241795044,1.37586277736312
-5.64730762772822,6,0.00347900000000001,0.00471399999999988,"2015/09/19",0.003527,"2015/09/25",60,0.0013561,6,0.259354965073746,0.008517078617163,0.00143782753104468,0.01803246583208,0.0334728959478204,0.320815233001854,0.275113810364207,0.0160240311146825,0.012446644894457,0.0181517768497632,0.0261764375384402,0.347912700761549,3.028,2659,1.96,11777,43.04,36.5,21.9591836734694,24.1940412528648,0.611137395476155
-5.20847666254825,6,0.00347900000000001,0.00471399999999988,"2015/09/19",0.00547,"2015/09/25",60,0.0013561,6,0.259354965073746,0.008517078617163,0.00143782753104468,0.01803246583208,0.0334728959478204,0.320815233001854,0.275113810364207,0.0160240311146825,0.012446644894457,0.0181517768497632,0.0261764375384402,0.347912700761549,3.028,2659,1.96,11777,43.04,36.5,21.9591836734694,24.1940412528648,0.611137395476155
